,name,u,v
91,South Kedzie Avenue,261131987,261131993
92,South Kedzie Avenue,261131987,261131980
93,West Pershing Road,261131993,261194003
94,West Pershing Road,261131993,261194001
95,South Kedzie Avenue,261131993,261132000
96,South Kedzie Avenue,261131993,261131987
97,South Kedzie Avenue,261132000,261132001
98,South Kedzie Avenue,261132000,261131993
99,West 38th Place,261132000,261213371
100,West 38th Street,261132001,261204052
101,South Kedzie Avenue,261132001,261132000
102,South Kedzie Avenue,261132001,261132002
103,West 38th Street,261132001,261204053
104,West 37th Place,261132002,261154076
105,West 37th Place,261132002,261154075
106,South Kedzie Avenue,261132002,261132006
107,South Kedzie Avenue,261132002,261132001
108,West 36th Place,261132006,261213566
109,South Kedzie Avenue,261132006,261132012
110,South Kedzie Avenue,261132006,261132002
111,West 36th Street,261132012,261340477
112,South Kedzie Avenue,261132012,261107943
113,South Kedzie Avenue,261132012,261132006
114,West 36th Street,261132012,1895426602
115,South California Avenue,261135276,261142065
116,"['South Fairfield Avenue', 'West 48th Street']",261135276,418458953
117,South California Avenue,261135276,261142068
118,South Talman Avenue,261135279,418458590
119,West 48th Street,261135279,261135280
120,"['West 48th Street', 'South Washtenaw Avenue']",261135279,418458562
121,South Rockwell Street,261135280,3903672039
122,West 48th Street,261135280,261135281
123,West 48th Street,261135280,261135279
124,South Rockwell Street,261135280,418458131
125,South Maplewood Avenue,261135281,418458053
126,West 48th Street,261135281,261135282
127,West 48th Street,261135281,261135280
128,South Campbell Avenue,261135282,261201158
129,West 48th Street,261135282,261135283
130,West 48th Street,261135282,261135281
131,South Western Avenue,261135283,2293272240
132,West 48th Street,261135283,261135282
133,South Western Avenue,261135283,261295805
134,South California Avenue,261142044,5087655873
135,West 35th Street,261142044,261170350
136,South California Avenue,261142044,5087655869
137,West 35th Place,261142045,261271623
138,South California Avenue,261142045,5087655873
139,South California Avenue,261142045,261142046
140,West 36th Street,261142046,261271624
141,South California Avenue,261142046,261142047
142,South California Avenue,261142046,261142045
143,West 36th Place,261142047,261213564
144,South California Avenue,261142047,261142050
145,South California Avenue,261142047,261142046
146,West 36th Place,261142047,261164013
147,South California Avenue,261142050,261142051
148,South California Avenue,261142050,261142047
149,West 37th Place,261142050,261154091
150,South California Avenue,261142051,261142052
151,South California Avenue,261142051,261142050
152,West 38th Street,261142051,261164014
153,West 38th Street,261142051,261204049
154,West 38th Place,261142052,261164015
155,South California Avenue,261142052,261142053
156,South California Avenue,261142052,261142051
157,West 38th Place,261142052,261271627
158,West Pershing Road,261142053,261164016
159,West Pershing Road,261142053,261193998
160,South California Avenue,261142053,7625126088
161,South California Avenue,261142053,261142052
162,South California Avenue,261142054,261142055
163,South California Avenue,261142054,7625126088
164,West 39th Place,261142054,418468475
165,South California Avenue,261142055,261142054
166,South California Avenue,261142055,261142056
167,South California Avenue,261142056,418471135
168,West 40th Place,261142056,261164019
169,South California Avenue,261142056,261142055
170,West 41st Street,261142058,418471596
171,South California Avenue,261142058,261142059
172,South California Avenue,261142058,418471135
173,West 42nd Street,261142059,261163830
174,South California Avenue,261142059,261142060
175,South California Avenue,261142059,261142058
176,West 42nd Street,261142059,261163831
177,West Pope John Paul II Drive,261142060,261259823
178,South California Avenue,261142060,261142061
179,South California Avenue,261142060,261142059
180,West 44th Street,261142061,261259825
181,West 44th Street,261142061,261309000
182,South California Avenue,261142061,261142062
183,South California Avenue,261142061,261142060
184,West 45th Street,261142062,261223148
185,West 45th Street,261142062,261223149
186,South California Avenue,261142062,261142063
187,South California Avenue,261142062,261142061
188,South California Avenue,261142063,418456769
189,South California Avenue,261142063,261142062
190,West 46th Street,261142063,261259827
191,West 46th Street,261142063,261272706
192,South California Avenue,261142065,261135276
193,West 47th Place,261142065,418459380
194,South California Avenue,261142065,418456769
195,"['South Richmond Street', 'West 48th Place']",261142068,418460432
196,South California Avenue,261142068,261135276
197,South Western Avenue,261148326,261272702
198,West 46th Place,261148326,261148327
199,South Western Avenue,261148326,418457154
200,South Rockwell Street,261148327,261272704
201,South Rockwell Street,261148327,418458131
202,South Spaulding Avenue,261154071,261204053
203,South Spaulding Avenue,261154071,261213370
204,West 37th Place,261154072,261154071
205,South Homan Avenue,261154072,538475024
206,West 37th Place,261154072,261154073
207,South Homan Avenue,261154072,261169865
208,West 37th Place,261154073,261154072
209,West 37th Place,261154075,261132002
210,"['West 37th Place', 'South Sacramento Avenue']",261154075,261204050
211,South Albany Avenue,261154075,261213566
212,West 37th Place,261154076,261132002
213,South Rockwell Street,261154090,261213563
214,West 37th Place,261154090,261154091
215,South Rockwell Street,261154090,261204048
216,South Washtenaw Avenue,261154091,261204049
217,West 37th Place,261154091,261154090
218,South Washtenaw Avenue,261154091,261213564
219,West 37th Place,261154091,261142050
220,South Talman Avenue,261162575,261162576
221,West 39th Place,261162575,418468475
222,West 39th Place,261162575,261256913
223,South Talman Avenue,261162576,261162577
224,South Talman Avenue,261162576,261162575
225,West 40th Street,261162576,261339432
226,South Brighton Place,261162577,261339432
227,South Talman Avenue,261162577,261162576
228,West 40th Place,261162577,261202672
229,West 42nd Street,261162578,261163828
230,West Pope John Paul II Drive,261162579,261271693
231,South Talman Avenue,261162579,261162578
232,South Talman Avenue,261162580,261162579
233,West 44th Street,261162580,261271694
234,West 44th Street,261162580,261308998
235,South Talman Avenue,261162581,261162580
236,West 45th Street,261162581,261223146
237,West 45th Street,261162581,261223147
238,South Talman Avenue,261162582,261162581
239,West 46th Street,261162582,261271695
240,West 46th Street,261162582,261272704
241,South Sacramento Avenue,261163820,418466663
242,West 42nd Street,261163820,261163821
243,South Sacramento Avenue,261163820,261167116
244,South Albany Avenue,261163821,261167118
245,West 42nd Street,261163821,261131964
246,South Western Boulevard,261163822,261284674
247,"['West 42nd Street', 'West 41st Street', 'South Oakley Avenue']",261163822,2293275898
248,South Western Boulevard,261163822,2293275898
249,South Western Avenue,261163824,261295797
250,South Western Avenue,261163824,261295799
251,South Artesian Avenue,261163825,261222150
252,West 42nd Street,261163825,261163824
253,South Campbell Avenue,261163826,261201104
254,West 42nd Street,261163826,261163825
255,South Maplewood Avenue,261163827,261336589
256,West 42nd Street,261163827,261163826
257,South Rockwell Street,261163828,261301731
258,West 42nd Street,261163828,261163827
259,South Rockwell Street,261163828,261336591
260,West 42nd Street,261163829,261162578
261,South Washtenaw Avenue,261163829,261271693
262,South Fairfield Avenue,261163830,261354822
263,West 42nd Street,261163830,261163829
264,South Mozart Street,261163831,261259823
265,West 42nd Street,261163831,261163832
266,West 42nd Street,261163831,261142059
267,South Francisco Avenue,261163832,418467152
268,West 42nd Street,261163832,261163833
269,West 42nd Street,261163832,261163831
270,South Richmond Street,261163833,261179908
271,West 42nd Street,261163833,261163832
272,South Francisco Avenue,261163988,261163832
273,West Pope John Paul II Drive,261163988,261179908
274,South Francisco Avenue,261163989,261163988
275,West 44th Street,261163989,261179909
276,West 44th Street,261163989,261259825
277,South Francisco Avenue,261163990,261163989
278,West 45th Street,261163990,261223149
279,West 45th Street,261163990,261179910
280,South Francisco Avenue,261163991,261163990
281,West 46th Street,261163991,261179911
282,West 46th Street,261163991,261259827
283,South Francisco Avenue,261164011,261164012
284,"['South Richmond Street', 'West 35th Street']",261164011,261179923
285,West 35th Street,261164011,261170352
